"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 28 15:44:10 GMT 2023","Sat Jan 28 15:44:10 GMT 2023","55","","junit.FirstJUnitTest","","junit.FirstJUnitTest","firstTest","firstTest()",""
"passed","Sat Jan 28 15:44:05 GMT 2023","Sat Jan 28 15:44:08 GMT 2023","3043","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"skipped","Sat Jan 28 15:44:10 GMT 2023","Sat Jan 28 15:44:10 GMT 2023","0","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String)",""
"skipped","Sat Jan 28 15:44:10 GMT 2023","Sat Jan 28 15:44:10 GMT 2023","0","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String)",""
"passed","Sat Jan 28 15:43:52 GMT 2023","Sat Jan 28 15:43:52 GMT 2023","359","","files.SelenideJSONFileTest","","files.SelenideJSONFileTest","parseJSONFile","parseJSONFile()",""
"passed","Sat Jan 28 15:43:51 GMT 2023","Sat Jan 28 15:43:52 GMT 2023","610","","files.SelenideFilesTest","","files.SelenideFilesTest","parsePDFFile","parsePDFFile()",""
"passed","Sat Jan 28 15:43:54 GMT 2023","Sat Jan 28 15:43:58 GMT 2023","3709","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingSteps","Тест на проверку задачи с использованием step",""
"passed","Sat Jan 28 15:43:51 GMT 2023","Sat Jan 28 15:43:51 GMT 2023","318","","files.SelenideFilesTest","","files.SelenideFilesTest","parseXLSFile","parseXLSFile()",""
"passed","Sat Jan 28 15:44:08 GMT 2023","Sat Jan 28 15:44:10 GMT 2023","1433","","github.SoftAssertionsHaveJUnit5","","github.SoftAssertionsHaveJUnit5","softAssertionsHaveCodeJUnit5","softAssertionsHaveCodeJUnit5()",""
"passed","Sat Jan 28 15:43:46 GMT 2023","Sat Jan 28 15:43:51 GMT 2023","4892","","demoqa.tests.GenerationDataForCheckingForm","","demoqa.tests.GenerationDataForCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:43:52 GMT 2023","Sat Jan 28 15:43:54 GMT 2023","1799","","github.BestContributorToSelenide","","github.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
"passed","Sat Jan 28 15:43:51 GMT 2023","Sat Jan 28 15:43:51 GMT 2023","267","","files.SelenideFilesTest","","files.SelenideFilesTest","parseCSVFile","parseCSVFile()",""
"passed","Sat Jan 28 15:44:03 GMT 2023","Sat Jan 28 15:44:05 GMT 2023","2221","","github.LoadingTheCorrectPage","","github.LoadingTheCorrectPage","loadingPageWithSpecificTitle","loadingPageWithSpecificTitle()",""
"passed","Sat Jan 28 15:44:00 GMT 2023","Sat Jan 28 15:44:03 GMT 2023","2592","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingListener","Тест на проверку задачи с использованием Listener",""
"passed","Sat Jan 28 15:43:41 GMT 2023","Sat Jan 28 15:43:46 GMT 2023","4960","","demoqa.tests.DemoqaCheckingForm","","demoqa.tests.DemoqaCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:43:58 GMT 2023","Sat Jan 28 15:44:00 GMT 2023","2671","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingAnnotatedSteps","Тест на проверку задачи с использованием аннотации Step",""
"passed","Sat Jan 28 15:43:31 GMT 2023","Sat Jan 28 15:43:40 GMT 2023","9771","","demoqa.tests.CheckingFormWithPageObjects","","demoqa.tests.CheckingFormWithPageObjects","fillForm","fillForm()",""
